"# Obligatorio | Identificador de contenido Ãºnico del artÃ­culo","# Obligatorio | TÃ­tulo especÃ­fico y relevante para el artÃ­culo.","# Obligatorio | A short and relevant description of the item.","# Obligatorio | The current availability of the item. ","# Obligatorio | The condition of the item. ","# Obligatorio | Precio del artÃ­culo.","# Obligatorio | URL de la pÃ¡gina del producto especÃ­fica donde las personas pueden comprar el artÃ­culo.","# Obligatorio | URL de la imagen principal de tu artÃ­culo. ","# Obligatorio | Marca del artÃ­culo. En su lugar; tambiÃ©n puedes ingresar un nÃºmero Ãºnico","# Opcional | CategorÃ­a de productos de Google para el artÃ­culo.","# Opcional | CategorÃ­a de productos de Facebook para el artÃ­culo.","# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout.","# Opcional | Precio con descuento del artÃ­culo si estÃ¡ en oferta.","# Opcional | Intervalo del perÃ­odo de oferta;","# Opcional | Use this field to create variants of the same item.","# Opcional | Sexo de las personas a las que se dirige el artÃ­culo.","# Opcional | Color del artÃ­culo. Usa una o mÃ¡s palabras para describir el color.","# Opcional | TamaÃ±o o talle del artÃ­culo escrito como una palabra; ","# Opcional | Grupo de edad de las personas a las que se dirige el artÃ­culo.","# Opcional | The material the item is made from;","# Opcional | The pattern or graphic print on the item. Character limit: 100.","# Opcional | Detalles de envÃ­o del artÃ­culo; con el siguiente formato:","# Opcional | Peso del envÃ­o del artÃ­culo. Incluye la unidad de medida (lb/oz/g/kg)."
"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight"
"66349","Boxer Microfibra Hugo Boss","Boxer Microfibra Hugo Boss","in stock","new","420","https://begima.com.mx/producto/10507/pack/0","https://begima.com.mx/public/61aa463d01e7a111.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66476","Tanga Corte Laser Calvin Klein","Tanga Corte Laser Calvin Klein","in stock","new","540","https://begima.com.mx/producto/123456300/pack/0","https://begima.com.mx/public/61c9f05391115roja.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
"66471","Boxer Microfibra Men Gaiyi","Boxer Microfibra Men Gaiyi","in stock","new","420","https://begima.com.mx/producto/123456330/pack/0","","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66470","Boxer Colores Calvin Klein","Boxer Colores Calvin Klein","in stock","new","599.9","https://begima.com.mx/producto/123456340/pack/0","","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","599.9","599.9","","female","black","M","adult","cotton","stripes","","2 kg"
"66466","Boxer Largo Maternidad Angelina","Boxer Largo Maternidad Angelina","in stock","new","510","https://begima.com.mx/producto/123456350/pack/0","https://begima.com.mx/public/61c4b2fd05dae1.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","510","510","","female","black","M","adult","cotton","stripes","","2 kg"
"66469","Boxer Tex-Gala","Boxer Tex-Gala","in stock","new","420","https://begima.com.mx/producto/123456360/pack/0","","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66467","Boxer Rayas Olimpoos","Boxer Rayas Olimpoos","in stock","new","420","https://begima.com.mx/producto/123456370/pack/0","https://begima.com.mx/public/61c4b99653f352.jpg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66464","Pantaleta Para Niña Chavez","Pantaleta Para Niña Chavez","in stock","new","180","https://begima.com.mx/producto/123456380/pack/0","","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","180","180","","female","black","M","adult","cotton","stripes","","2 kg"
"66463","Calentones Navideños Frances","Calentones Navideños Frances","in stock","new","180","https://begima.com.mx/producto/123456390/pack/0","https://image.flaticon.com/icons/png/512/1554/1554561.png","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","180","180","","female","black","M","adult","cotton","stripes","","2 kg"
"66462","Pijama Diseños Manga Larga Begima","Pijama Diseños Manga Larga Begima","in stock","new","130","https://begima.com.mx/producto/123456400/pack/0","https://begima.com.mx/public/61c3772067e90manla.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","130","130","","female","black","M","adult","cotton","stripes","","2 kg"
"66457","Pijama Diseños Begima","Pijama Diseños Begima","in stock","new","130","https://begima.com.mx/producto/123456410/pack/0","https://begima.com.mx/public/61c36f8776522pink.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","130","130","","female","black","M","adult","cotton","stripes","","2 kg"
"66455","Pantaleta/Bikini De Colores Angelina","Pantaleta/Bikini De Colores Angelina","in stock","new","540","https://begima.com.mx/producto/123456420/pack/0","","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
"66452","Pantaleta/Bikini Con Diseño Angelina","Pantaleta/Bikini Con Diseño Angelina","in stock","new","540","https://begima.com.mx/producto/123456430/pack/0","https://begima.com.mx/public/61c239a8a273ed1.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
"66448","Pantaleta/Bikini Con Encaje Angelina","Pantaleta/Bikini Con Encaje Angelina","in stock","new","540","https://begima.com.mx/producto/123456440/pack/0","https://begima.com.mx/public/61c22da0c8bb4111.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
"66456","Baby Doll Conejo Rosa EEmifer","Baby Doll Conejo Rosa EEmifer","in stock","new","165","https://begima.com.mx/producto/123456450/pack/0","","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","165","165","","female","black","M","adult","cotton","stripes","","2 kg"
"66446","Pantaleta/Bikini Margaritas/Estrellas Angelina","Pantaleta/Bikini Margaritas/Estrellas Angelina","in stock","new","540","https://begima.com.mx/producto/123456460/pack/0","https://begima.com.mx/public/61c226b2d2a18mar.webp","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","540","540","","female","black","M","adult","cotton","stripes","","2 kg"
